Contig	Protein ID	Start	Stop	Strand	size_aa	pI	Mol_weight_kDa	Instability_index	Description	Source	Perc_ID	Perc_Cov	E-value	Refinement	PVOG	Perc_ID	Perc_Cov	E-value
ERR1913076_Contig_6477_2252.17:1.1775	ERR1913076_Contig_6477_2252.17:1.1775_1	427	598	1	56	6.07720947266	5.98255	76.4303571429	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6477_2252.17:1.1775	ERR1913076_Contig_6477_2252.17:1.1775_2	869	1286	-1	138	7.99383544922	15.51254	42.9471014493	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6477_2252.17:1.1775	ERR1913076_Contig_6477_2252.17:1.1775_3	1577	2105	-1	175	9.29791259766	19.38501	39.7788571429	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6477_2252.17:1.1775	ERR1913076_Contig_6477_2252.17:1.1775_4	2588	2807	-1	72	9.51251220703	8.05799	36.0486111111	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6477_2252.17:1.1775	ERR1913076_Contig_6477_2252.17:1.1775_5	2852	3029	-1	58	10.961730957	6.46847	17.1327586207	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_54789_346.809:1.3596	ERR1913076_Contig_54789_346.809:1.3596_1	71	173	1	33	6.53082275391	3.58082	48.8484848485	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_54789_346.809:1.3596	ERR1913076_Contig_54789_346.809:1.3596_2	297	519	-1	73	4.03216552734	7.97831	18.395890411	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_81893_471.929:1.5360	ERR1913076_Contig_81893_471.929:1.5360_1	427	871	-1	147	6.31854248047	16.80009	41.2945578231	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_81893_471.929:1.5360	ERR1913076_Contig_81893_471.929:1.5360_2	895	1264	-1	122	6.63775634766	14.31813	54.955	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_1144_10.0192:1.1479	ERR1913076_Contig_1144_10.0192:1.1479_1	96	576	1	159	7.66082763672	17.71556	36.8754716981	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_1144_10.0192:1.1479	ERR1913076_Contig_1144_10.0192:1.1479_2	547	865	-1	105	9.58197021484	12.13459	26.8819047619	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_1144_10.0192:1.1479	ERR1913076_Contig_1144_10.0192:1.1479_3	922	1258	-1	111	5.84820556641	12.36236	3.96846846847	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_69146_409.051:1.4670	ERR1913076_Contig_69146_409.051:1.4670_1	1160	2606	1	481	5.28741455078	57.06571	34.3856964657	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_3016_382.454:1.1146	ERR1913076_Contig_3016_382.454:1.1146_1	107	542	1	144	10.0556030273	17.05465	37.0813194444	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_92863_363.444:1.1945	ERR1913076_Contig_92863_363.444:1.1945_1	51	789	1	245	4.96954345703	28.68072	29.8828571429	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_12751_474.605:1.3030	ERR1913076_Contig_12751_474.605:1.3030_1	470	1085	-1	204	9.73468017578	22.68557	59.5990196078	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_62873_479.376:1.10423	ERR1913076_Contig_62873_479.376:1.10423_1	26	329	1	100	4.05487060547	10.9415	29.2391	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_62873_479.376:1.10423	ERR1913076_Contig_62873_479.376:1.10423_2	330	1584	1	417	4.43572998047	44.17447	32.0254196643	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_21768_434.123:1.3991	ERR1913076_Contig_21768_434.123:1.3991_1	21	777	-1	251	9.67156982422	28.86253	34.7594023904	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_21768_434.123:1.3991	ERR1913076_Contig_21768_434.123:1.3991_2	773	1343	-1	189	5.63592529297	21.77628	22.1603174603	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_21768_434.123:1.3991	ERR1913076_Contig_21768_434.123:1.3991_3	1329	1767	-1	145	9.51873779297	16.15515	47.138	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_3412_18.8936:1.1890	ERR1913076_Contig_3412_18.8936:1.1890_1	19	382	1	120	9.11468505859	14.15572	37.695	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_3412_18.8936:1.1890	ERR1913076_Contig_3412_18.8936:1.1890_2	344	671	1	108	5.01495361328	12.84921	61.0638888889	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_3412_18.8936:1.1890	ERR1913076_Contig_3412_18.8936:1.1890_3	693	1221	1	175	5.48394775391	20.01436	38.7605714286	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_44472_432.511:1.2819	ERR1913076_Contig_44472_432.511:1.2819_1	199	409	1	69	11.165222168	8.0884	90.9826086957	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_91771_592.188:1.3582	ERR1913076_Contig_91771_592.188:1.3582_1	88	568	1	159	6.84185791016	18.10797	46.4534591195	Hypothetical protein	NO_HIT	NA	NA	NA	YES	VOG2485	84.0	56.6265060241	0.00014
ERR1913076_Contig_90863_373.137:1.1611	ERR1913076_Contig_90863_373.137:1.1611_1	74	641	-1	188	9.04034423828	21.2441	52.7478723404	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_90863_373.137:1.1611	ERR1913076_Contig_90863_373.137:1.1611_2	722	881	-1	52	4.65997314453	5.71523	28.7153846154	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_90863_373.137:1.1611	ERR1913076_Contig_90863_373.137:1.1611_3	923	1103	-1	59	5.12274169922	6.79472	28.4779661017	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_90863_373.137:1.1611	ERR1913076_Contig_90863_373.137:1.1611_4	1256	1481	-1	74	8.47760009766	8.28827	26.1972972973	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_90863_373.137:1.1611	ERR1913076_Contig_90863_373.137:1.1611_5	1844	2120	-1	91	4.86456298828	10.53035	63.6956043956	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_19520_15.4189:1.1894	ERR1913076_Contig_19520_15.4189:1.1894_1	45	972	1	308	6.07232666016	34.83897	28.5273051948	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_57565_395.995:1.1055	ERR1913076_Contig_57565_395.995:1.1055_1	256	1432	1	391	5.39434814453	45.31379	40.1570332481	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_57565_395.995:1.1055	ERR1913076_Contig_57565_395.995:1.1055_2	1519	1717	1	65	9.00286865234	7.54737	15.2323076923	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_27752_318.992:1.5151	ERR1913076_Contig_27752_318.992:1.5151_1	37	931	1	297	7.08538818359	34.8385	41.0676767677	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_17747_415.677:1.3078	ERR1913076_Contig_17747_415.677:1.3078_1	362	1577	-1	404	9.13397216797	46.9186	36.7014851485	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_90659_239.527:1.3619	ERR1913076_Contig_90659_239.527:1.3619_1	530	941	-1	136	7.31939697266	15.50059	46.1330882353	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_13889_190.59:1.1302	ERR1913076_Contig_13889_190.59:1.1302_1	23	416	1	130	9.50848388672	14.86566	73.7416923077	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_13889_190.59:1.1302	ERR1913076_Contig_13889_190.59:1.1302_2	425	698	1	90	10.1376342773	10.22042	58.4366666667	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_13889_190.59:1.1302	ERR1913076_Contig_13889_190.59:1.1302_3	809	1559	1	249	10.100402832	27.95079	41.4040160643	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_38031_40.2782:1.1968	ERR1913076_Contig_38031_40.2782:1.1968_1	149	374	1	74	9.41412353516	8.8008	29.4162162162	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_38031_40.2782:1.1968	ERR1913076_Contig_38031_40.2782:1.1968_2	370	595	1	74	7.87017822266	8.7727	64.1810810811	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_38031_40.2782:1.1968	ERR1913076_Contig_38031_40.2782:1.1968_3	608	1166	1	185	4.74090576172	21.34447	41.6659459459	Hypothetical protein	NO_HIT	NA	NA	NA	YES	VOG0982	71.0	86.3636363636	1.7e-18
ERR1913076_Contig_25061_2270:1.1076	ERR1913076_Contig_25061_2270:1.1076_1	206	1391	1	394	8.59466552734	45.00609	32.3896192893	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_25061_2270:1.1076	ERR1913076_Contig_25061_2270:1.1076_2	1966	2266	-1	99	9.15496826172	11.56802	30.2707070707	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6080_402.679:1.1467	ERR1913076_Contig_6080_402.679:1.1467_1	119	731	1	203	5.00018310547	22.32841	32.5073891626	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6080_402.679:1.1467	ERR1913076_Contig_6080_402.679:1.1467_2	756	951	1	64	9.63934326172	7.11516	47.60625	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6080_402.679:1.1467	ERR1913076_Contig_6080_402.679:1.1467_3	964	1444	1	159	9.35211181641	18.98751	45.1352830189	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6080_402.679:1.1467	ERR1913076_Contig_6080_402.679:1.1467_4	1504	2305	1	266	8.82867431641	30.07191	29.8469924812	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_16523_387.304:1.2288	ERR1913076_Contig_16523_387.304:1.2288_1	18	648	1	209	7.11480712891	24.55201	46.533492823	Hypothetical protein	NO_HIT	NA	NA	NA	YES	VOG7633	82.0	71.7488789238	7.7e-18
ERR1913076_Contig_6338_391.629:1.1474	ERR1913076_Contig_6338_391.629:1.1474_1	9	732	1	240	5.55523681641	26.96407	39.8992083333	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_4792_375.626:1.4584	ERR1913076_Contig_4792_375.626:1.4584_1	21	1098	1	358	8.61444091797	41.97428	38.0787988827	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_4792_375.626:1.4584	ERR1913076_Contig_4792_375.626:1.4584_2	1318	2659	-1	446	6.71319580078	49.54367	27.9502242152	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_70272_5.33034:1.1022	ERR1913076_Contig_70272_5.33034:1.1022_1	53	290	1	78	9.76788330078	9.78597	16.0012820513	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_70272_5.33034:1.1022	ERR1913076_Contig_70272_5.33034:1.1022_2	282	1416	1	377	6.63922119141	44.50041	43.2395490716	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_70272_5.33034:1.1022	ERR1913076_Contig_70272_5.33034:1.1022_3	1420	1864	1	147	4.93695068359	17.51766	46.1191156463	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_63062_334.884:1.1667	ERR1913076_Contig_63062_334.884:1.1667_1	1755	2757	-1	333	5.33245849609	38.62454	41.7712312312	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_63062_334.884:1.1667	ERR1913076_Contig_63062_334.884:1.1667_2	2749	2989	-1	79	5.58453369141	9.13438	49.1481012658	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6784_24.4124:1.1230	ERR1913076_Contig_6784_24.4124:1.1230_1	954	1335	1	126	5.49688720703	13.89159	45.8436507937	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_71525_11.8844:1.1179	ERR1913076_Contig_71525_11.8844:1.1179_1	626	1466	-1	279	9.23321533203	29.46132	34.1143369176	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_85191_21.8455:1.1761	ERR1913076_Contig_85191_21.8455:1.1761_1	176	686	1	169	9.19915771484	19.27189	40.6289940828	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_85191_21.8455:1.1761	ERR1913076_Contig_85191_21.8455:1.1761_2	698	1331	-1	210	8.64581298828	25.24098	44.1291428571	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_21581_11.6569:1.1113	ERR1913076_Contig_21581_11.6569:1.1113_1	1192	1627	-1	144	9.60064697266	16.93623	87.8729166667	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_92936_407.85:1.8780	ERR1913076_Contig_92936_407.85:1.8780_1	12	1557	-1	514	8.91436767578	57.63668	29.1186964981	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_6849_2300.32:1.1125	ERR1913076_Contig_6849_2300.32:1.1125_1	433	964	-1	176	9.62249755859	19.64541	36.0488636364	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_20275_24.5955:1.1167	ERR1913076_Contig_20275_24.5955:1.1167_1	187	2035	-1	615	4.53289794922	67.18402	28.5328455285	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
ERR1913076_Contig_48296_10.5674:1.3728	ERR1913076_Contig_48296_10.5674:1.3728_1	24	762	1	245	8.75286865234	26.92971	27.1771836735	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
