Q_id	S1_id	S2_id	Overlap_coeff	S1_start	S1_end	Bitscore1	S2_start	S2_end	Bitscore2
ERR1121433_Contig_37966_21.5125:1.1946	NC_019411.1	NC_021858.1	0.0000	284	75	40.5	559	371	35.9
ERR1121433_Contig_83750_13.7579:1.1123	NC_019543.1	NC_031087.1	0.0000	176	379	51.0	5	103	53.8
ERR1121433_Contig_15278_11.4574:1.1570	NC_012663.1	NC_015263.1	0.0000	968	1171	70.3	1313	1510	68.4
ERR1121433_Contig_83829_13.481:1.1467	NC_019713.1	NC_026610.2	0.0000	912	1451	171	180	338	72.5
ERR1121433_Contig_67662_11.5781:1.1108	NC_009813.1	NC_021325.1	0.0000	675	878	56.8	3	266	55.0
ERR1136607_Contig_69300_8.60209:1.2317	NC_013804.1	NC_019914.1	0.0000	2173	1943	45.1	1665	1264	73.9
ERR1136607_Contig_69300_8.60209:1.2317	NC_013804.1	NC_029068.1	0.0000	2173	1943	45.1	1149	1036	65.2
ERR1136607_Contig_69300_8.60209:1.2317	NC_019914.1	NC_029068.1	0.0000	1665	1264	73.9	1149	1036	65.2
ERR1136607_Contig_18557_26.5026:1.2529	NC_003085.1	NC_007346.1	0.0000	2177	2428	46.4	1925	2011	29.9
ERR1136607_Contig_2034_9.93671:1.4839	NC_019521.1	NC_021804.1	0.0000	1294	1416	36.8	1447	1617	51.0
ERR1136607_Contig_2034_9.93671:1.4839	NC_019521.1	NC_021806.1	0.0000	1294	1416	36.8	4178	4345	55.6
ERR1136607_Contig_2034_9.93671:1.4839	NC_019521.1	NC_023573.1	0.0000	1294	1416	36.8	4752	4588	44.6
ERR1136607_Contig_2034_9.93671:1.4839	NC_021804.1	NC_021806.1	0.0000	1447	1617	51.0	4178	4345	55.6
ERR1136607_Contig_2034_9.93671:1.4839	NC_021804.1	NC_023573.1	0.0000	1447	1617	51.0	4752	4588	44.6
ERR1136607_Contig_2034_9.93671:1.4839	NC_021806.1	NC_023573.1	0.0000	4178	4345	55.6	4752	4588	44.6
ERR1136607_Contig_17623_10.9718:1.1226	NC_021806.1	NC_031912.1	0.0000	661	783	53.3	1051	1224	39.1
ERR1136607_Contig_24588_17.0088:1.2167	NC_023007.1	NC_028749.1	0.0000	849	1154	68.9	264	368	42.3
ERR1136607_Contig_24588_17.0088:1.2167	NC_023007.1	NC_029119.1	0.0000	849	1154	68.9	1637	1750	41.8
ERR1136607_Contig_24588_17.0088:1.2167	NC_028749.1	NC_029119.1	0.0000	264	368	42.3	1637	1750	41.8
ERR1136607_Contig_6097_10.4442:1.1544	NC_021325.1	NC_029009.1	0.0000	615	806	91.3	1066	1146	52.8
ERR1136607_Contig_66995_9.7942:1.1813	NC_021806.1	NC_031914.1	0.0000	855	697	39.1	1362	1186	61.1
ERR1136607_Contig_8645_5.06389:1.1006	NC_009552.2	NC_009737.2	0.0000	173	367	55.1	890	1006	40.5
ERR1136607_Contig_8645_5.06389:1.1006	NC_009552.2	NC_031941.1	0.0000	173	367	55.1	675	752	36.8
ERR1136607_Contig_8645_5.06389:1.1006	NC_009737.2	NC_031941.1	0.0000	890	1006	40.5	675	752	36.8
ERR1136607_Contig_5851_11.9627:1.1575	NC_001884.1	NC_023582.1	0.0000	657	550	38.6	945	706	34.1
ERR1136607_Contig_5851_11.9627:1.1575	NC_001884.1	NC_029073.1	0.0000	657	550	38.6	1317	865	156
ERR1136607_Contig_73319_5.25253:1.1105	NC_004588.1	NC_031904.1	0.0000	1	210	64.9	508	714	89.5
ERR1136607_Contig_330_9.26608:1.1046	NC_019400.1	NC_026594.1	0.0000	26	115	46.5	176	346	69.6
ERR1136607_Contig_330_9.26608:1.1046	NC_019400.1	NC_029094.1	0.0000	26	115	46.5	542	718	53.7
ERR1136607_Contig_330_9.26608:1.1046	NC_026594.1	NC_029094.1	0.0000	176	346	69.6	542	718	53.7
ERR1136610_Contig_4138_10.783:1.2426	NC_001731.1	NC_001806.2	0.0000	2218	2066	31.8	87	16	34.5
ERR1136610_Contig_4138_10.783:1.2426	NC_001731.1	NC_006560.1	0.0000	2218	2066	31.8	449	565	40.0
ERR1136610_Contig_4138_10.783:1.2426	NC_001806.2	NC_006560.1	0.0000	87	16	34.5	449	565	40.0
ERR1136610_Contig_33011_8.13088:1.1976	NC_021533.1	NC_023714.1	0.0000	319	396	35.4	788	690	29.0
ERR1136610_Contig_33011_8.13088:1.1976	NC_021533.1	NC_028988.1	0.0000	319	396	35.4	1740	1829	39.6
ERR1136610_Contig_33011_8.13088:1.1976	NC_021533.1	NC_030916.1	0.0000	319	396	35.4	1234	1386	33.1
ERR1136610_Contig_33011_8.13088:1.1976	NC_023714.1	NC_028988.1	0.0000	788	690	29.0	1740	1829	39.6
ERR1136610_Contig_33011_8.13088:1.1976	NC_023714.1	NC_030916.1	0.0000	788	690	29.0	1234	1386	33.1
ERR1136610_Contig_33011_8.13088:1.1976	NC_028988.1	NC_030916.1	0.0000	1740	1829	39.6	1234	1386	33.1
ERR1136610_Contig_9738_7.6651:1.2779	NC_014649.1	NC_028094.1	0.0000	792	667	34.1	2081	1908	38.6
ERR1136610_Contig_9738_7.6651:1.2779	NC_016072.1	NC_028094.1	0.0000	999	700	50.6	2081	1908	38.6
ERR1136610_Contig_35010_9.29241:1.1641	NC_019410.1	NC_028991.1	0.0000	707	856	37.3	1637	1512	46.4
ERR1136610_Contig_1853_8.85611:1.1820	NC_004812.1	NC_006151.1	0.0000	2	148	35.0	1588	1734	32.7
ERR1136610_Contig_11746_8.58182:1.1835	NC_007653.1	NC_008030.1	0.0000	1835	1665	37.7	1014	934	39.6
ERR1136610_Contig_11746_8.58182:1.1835	NC_007653.1	NC_021319.1	0.0000	1835	1665	37.7	670	515	45.1
ERR1136610_Contig_11746_8.58182:1.1835	NC_007653.1	NC_022563.1	0.0000	1835	1665	37.7	220	41	40.0
ERR1136610_Contig_11746_8.58182:1.1835	NC_008030.1	NC_021319.1	0.0000	1014	934	39.6	670	515	45.1
ERR1136610_Contig_11746_8.58182:1.1835	NC_008030.1	NC_022563.1	0.0000	1014	934	39.6	220	41	40.0
ERR1136610_Contig_11746_8.58182:1.1835	NC_021319.1	NC_022563.1	0.0000	670	515	45.1	220	41	40.0
ERR1136610_Contig_16141_7.93168:1.1879	NC_005337.1	NC_005885.1	0.1505	1194	1286	35.4	1273	1383	36.3
ERR1136610_Contig_16141_7.93168:1.1879	NC_005337.1	NC_008195.1	0.0000	1194	1286	35.4	1578	1676	36.8
ERR1136610_Contig_16141_7.93168:1.1879	NC_005337.1	NC_028807.1	0.0000	1194	1286	35.4	3	86	37.7
ERR1136610_Contig_16141_7.93168:1.1879	NC_005885.1	NC_008195.1	0.0000	1273	1383	36.3	1578	1676	36.8
ERR1136610_Contig_16141_7.93168:1.1879	NC_005885.1	NC_028807.1	0.0000	1273	1383	36.3	3	86	37.7
ERR1136610_Contig_16141_7.93168:1.1879	NC_008195.1	NC_028807.1	0.0000	1578	1676	36.8	3	86	37.7
ERR1136610_Contig_24056_10.7476:1.1585	NC_004812.1	NC_006560.1	0.0000	524	309	39.6	1068	1139	33.6
ERR1136610_Contig_24056_10.7476:1.1585	NC_004812.1	NC_007653.1	0.0000	524	309	39.6	722	898	41.4
ERR1136610_Contig_24056_10.7476:1.1585	NC_004812.1	NC_031035.1	0.0000	524	309	39.6	660	785	35.0
ERR1136610_Contig_24056_10.7476:1.1585	NC_006560.1	NC_007653.1	0.0000	1068	1139	33.6	722	898	41.4
ERR1136610_Contig_24056_10.7476:1.1585	NC_006560.1	NC_031035.1	0.0000	1068	1139	33.6	660	785	35.0
ERR1136610_Contig_42193_8.26003:1.1316	NC_003278.1	NC_027867.1	0.0000	402	551	39.1	794	892	35.4
ERR1136610_Contig_42193_8.26003:1.1316	NC_003278.1	NC_028747.1	0.0000	402	551	39.1	725	856	40.0
ERR1136610_Contig_19475_8.51671:1.1516	NC_001847.1	NC_006560.1	0.0000	562	720	37.3	982	1293	53.3
ERR1136610_Contig_19475_8.51671:1.1516	NC_001847.1	NC_008195.1	0.0000	562	720	37.3	1398	1339	34.5
ERR1136610_Contig_19475_8.51671:1.1516	NC_001847.1	NC_019410.1	0.0000	562	720	37.3	1396	1515	36.3
ERR1136610_Contig_19475_8.51671:1.1516	NC_001847.1	NC_022328.1	0.0000	562	720	37.3	895	1038	39.6
ERR1136610_Contig_19475_8.51671:1.1516	NC_006151.1	NC_006560.1	0.0000	661	741	37.3	982	1293	53.3
ERR1136610_Contig_19475_8.51671:1.1516	NC_006151.1	NC_008195.1	0.0000	661	741	37.3	1398	1339	34.5
ERR1136610_Contig_19475_8.51671:1.1516	NC_006151.1	NC_019410.1	0.0000	661	741	37.3	1396	1515	36.3
ERR1136610_Contig_19475_8.51671:1.1516	NC_006151.1	NC_022328.1	0.0000	661	741	37.3	895	1038	39.6
ERR1136610_Contig_19475_8.51671:1.1516	NC_006560.1	NC_008195.1	0.0000	982	1293	53.3	1398	1339	34.5
ERR1136610_Contig_19475_8.51671:1.1516	NC_006560.1	NC_019410.1	0.0000	982	1293	53.3	1396	1515	36.3
ERR1136610_Contig_19475_8.51671:1.1516	NC_008195.1	NC_019410.1	0.0500	1398	1339	34.5	1396	1515	36.3
ERR1136610_Contig_19475_8.51671:1.1516	NC_008195.1	NC_022328.1	0.0000	1398	1339	34.5	895	1038	39.6
ERR1136610_Contig_19475_8.51671:1.1516	NC_019410.1	NC_022328.1	0.0000	1396	1515	36.3	895	1038	39.6
ERR1136610_Contig_24329_6.33989:1.1800	NC_024205.1	NC_027355.1	0.0000	1787	1641	57.9	1490	1368	49.6
ERR1136610_Contig_32494_8.18702:1.1592	NC_001650.2	NC_005261.3	0.0000	301	227	33.1	1451	1582	43.7
ERR1136610_Contig_32494_8.18702:1.1592	NC_001650.2	NC_024145.1	0.0000	301	227	33.1	224	144	34.1
ERR1136610_Contig_32494_8.18702:1.1592	NC_001650.2	NC_028934.1	0.0000	301	227	33.1	734	573	36.8
ERR1136610_Contig_32494_8.18702:1.1592	NC_001650.2	NC_034446.1	0.0000	301	227	33.1	1091	1207	36.8
ERR1136610_Contig_32494_8.18702:1.1592	NC_005261.3	NC_024145.1	0.0000	1451	1582	43.7	224	144	34.1
ERR1136610_Contig_32494_8.18702:1.1592	NC_005261.3	NC_028934.1	0.0000	1451	1582	43.7	734	573	36.8
ERR1136610_Contig_32494_8.18702:1.1592	NC_005261.3	NC_034446.1	0.0000	1451	1582	43.7	1091	1207	36.8
ERR1136610_Contig_32494_8.18702:1.1592	NC_024145.1	NC_028934.1	0.0000	224	144	34.1	734	573	36.8
ERR1136610_Contig_32494_8.18702:1.1592	NC_024145.1	NC_034446.1	0.0000	224	144	34.1	1091	1207	36.8
ERR1136610_Contig_32494_8.18702:1.1592	NC_028934.1	NC_034446.1	0.0000	734	573	36.8	1091	1207	36.8
ERR1136610_Contig_213_7.02783:1.1673	NC_014457.1	NC_015254.1	0.0000	1411	1590	53.3	236	343	35.4
ERR1136610_Contig_39972_8.82959:1.2203	NC_004812.1	NC_006151.1	0.0000	1428	1309	38.6	328	573	40.9
ERR1136610_Contig_39972_8.82959:1.2203	NC_004812.1	NC_007653.1	0.0000	1428	1309	38.6	330	118	38.6
ERR1136610_Contig_39972_8.82959:1.2203	NC_004812.1	NC_008204.1	0.0000	1428	1309	38.6	1587	1682	37.3
ERR1136610_Contig_39972_8.82959:1.2203	NC_004812.1	NC_009993.2	0.0000	1428	1309	38.6	375	208	33.1
ERR1136610_Contig_39972_8.82959:1.2203	NC_004812.1	NC_018452.1	0.0000	1428	1309	38.6	1274	966	46.0
ERR1136610_Contig_39972_8.82959:1.2203	NC_004812.1	NC_028809.1	0.0000	1428	1309	38.6	195	70	32.7
ERR1136610_Contig_39972_8.82959:1.2203	NC_004812.1	NC_034446.1	0.0000	1428	1309	38.6	2001	2117	34.5
ERR1136610_Contig_39972_8.82959:1.2203	NC_006151.1	NC_007653.1	0.0141	328	573	40.9	330	118	38.6
ERR1136610_Contig_39972_8.82959:1.2203	NC_006151.1	NC_008204.1	0.0000	328	573	40.9	1587	1682	37.3
ERR1136610_Contig_39972_8.82959:1.2203	NC_006151.1	NC_018452.1	0.0000	328	573	40.9	1274	966	46.0
ERR1136610_Contig_39972_8.82959:1.2203	NC_006151.1	NC_028809.1	0.0000	328	573	40.9	195	70	32.7
ERR1136610_Contig_39972_8.82959:1.2203	NC_006151.1	NC_034446.1	0.0000	328	573	40.9	2001	2117	34.5
ERR1136610_Contig_39972_8.82959:1.2203	NC_007653.1	NC_008204.1	0.0000	330	118	38.6	1587	1682	37.3
ERR1136610_Contig_39972_8.82959:1.2203	NC_007653.1	NC_018452.1	0.0000	330	118	38.6	1274	966	46.0
ERR1136610_Contig_39972_8.82959:1.2203	NC_007653.1	NC_034446.1	0.0000	330	118	38.6	2001	2117	34.5
ERR1136610_Contig_39972_8.82959:1.2203	NC_008204.1	NC_009993.2	0.0000	1587	1682	37.3	375	208	33.1
ERR1136610_Contig_39972_8.82959:1.2203	NC_008204.1	NC_018452.1	0.0000	1587	1682	37.3	1274	966	46.0
ERR1136610_Contig_39972_8.82959:1.2203	NC_008204.1	NC_028809.1	0.0000	1587	1682	37.3	195	70	32.7
ERR1136610_Contig_39972_8.82959:1.2203	NC_008204.1	NC_034446.1	0.0000	1587	1682	37.3	2001	2117	34.5
ERR1136610_Contig_39972_8.82959:1.2203	NC_009993.2	NC_018452.1	0.0000	375	208	33.1	1274	966	46.0
ERR1136610_Contig_39972_8.82959:1.2203	NC_009993.2	NC_028809.1	0.0000	375	208	33.1	195	70	32.7
ERR1136610_Contig_39972_8.82959:1.2203	NC_009993.2	NC_034446.1	0.0000	375	208	33.1	2001	2117	34.5
ERR1136610_Contig_39972_8.82959:1.2203	NC_018452.1	NC_028809.1	0.0000	1274	966	46.0	195	70	32.7
ERR1136610_Contig_39972_8.82959:1.2203	NC_018452.1	NC_034446.1	0.0000	1274	966	46.0	2001	2117	34.5
ERR1136610_Contig_39972_8.82959:1.2203	NC_028809.1	NC_034446.1	0.0000	195	70	32.7	2001	2117	34.5
ERR1136610_Contig_43492_13.1057:1.1203	NC_004684.1	NC_008195.1	0.0000	275	150	34.1	572	408	38.6
ERR1136610_Contig_43492_13.1057:1.1203	NC_004684.1	NC_019410.1	0.0000	275	150	34.1	790	969	36.3
ERR1136610_Contig_43492_13.1057:1.1203	NC_004684.1	NC_019411.1	0.0000	275	150	34.1	503	333	38.2
ERR1136610_Contig_43492_13.1057:1.1203	NC_004684.1	NC_020205.1	0.0690	275	150	34.1	356	270	31.3
ERR1136610_Contig_43492_13.1057:1.1203	NC_004684.1	NC_030902.1	0.0000	275	150	34.1	758	669	35.9
ERR1136610_Contig_43492_13.1057:1.1203	NC_008195.1	NC_019410.1	0.0000	572	408	38.6	790	969	36.3
ERR1136610_Contig_43492_13.1057:1.1203	NC_008195.1	NC_020205.1	0.0000	572	408	38.6	356	270	31.3
ERR1136610_Contig_43492_13.1057:1.1203	NC_008195.1	NC_030902.1	0.0000	572	408	38.6	758	669	35.9
ERR1136610_Contig_43492_13.1057:1.1203	NC_019410.1	NC_019411.1	0.0000	790	969	36.3	503	333	38.2
ERR1136610_Contig_43492_13.1057:1.1203	NC_019410.1	NC_020205.1	0.0000	790	969	36.3	356	270	31.3
ERR1136610_Contig_43492_13.1057:1.1203	NC_019410.1	NC_030902.1	0.0000	790	969	36.3	758	669	35.9
ERR1136610_Contig_43492_13.1057:1.1203	NC_019411.1	NC_030902.1	0.0000	503	333	38.2	758	669	35.9
ERR1136610_Contig_43492_13.1057:1.1203	NC_020205.1	NC_030902.1	0.0000	356	270	31.3	758	669	35.9
ERR1136610_Contig_35639_9.63979:1.1372	NC_005337.1	NC_019495.1	0.0000	1205	1038	37.3	1236	1283	40.0
ERR1136610_Contig_35639_9.63979:1.1372	NC_005337.1	NC_021858.1	0.0000	1205	1038	37.3	533	432	44.1
ERR1136610_Contig_35639_9.63979:1.1372	NC_005337.1	NC_026440.1	0.0000	1205	1038	37.3	916	836	35.4
ERR1136610_Contig_35639_9.63979:1.1372	NC_019495.1	NC_020202.1	0.0000	1236	1283	40.0	1063	965	36.8
ERR1136610_Contig_35639_9.63979:1.1372	NC_019495.1	NC_021858.1	0.0000	1236	1283	40.0	533	432	44.1
ERR1136610_Contig_35639_9.63979:1.1372	NC_019495.1	NC_026440.1	0.0000	1236	1283	40.0	916	836	35.4
ERR1136610_Contig_35639_9.63979:1.1372	NC_020202.1	NC_021858.1	0.0000	1063	965	36.8	533	432	44.1
ERR1136610_Contig_35639_9.63979:1.1372	NC_020202.1	NC_026440.1	0.0000	1063	965	36.8	916	836	35.4
ERR1136610_Contig_35639_9.63979:1.1372	NC_021858.1	NC_026440.1	0.0000	533	432	44.1	916	836	35.4
ERR1136610_Contig_24633_5.7147:1.1387	NC_019418.1	NC_019506.1	0.0000	721	587	67.7	1255	1091	60.6
ERR1136610_Contig_21302_7.83728:1.1077	NC_021858.1	NC_028936.1	0.0000	139	62	36.3	165	305	34.5
ERR1136613_Contig_22031_8.46698:1.5063	NC_007653.1	NC_019405.1	0.0000	4313	4113	39.1	3903	3814	35.4
ERR1136613_Contig_22031_8.46698:1.5063	NC_007653.1	NC_019407.1	0.0000	4313	4113	39.1	3726	3547	37.3
ERR1136613_Contig_22031_8.46698:1.5063	NC_007653.1	NC_021858.1	0.0000	4313	4113	39.1	337	459	40.0
ERR1136613_Contig_22031_8.46698:1.5063	NC_007653.1	NC_023686.1	0.0000	4313	4113	39.1	3849	3748	36.8
ERR1136613_Contig_22031_8.46698:1.5063	NC_019405.1	NC_019407.1	0.0000	3903	3814	35.4	3726	3547	37.3
ERR1136613_Contig_22031_8.46698:1.5063	NC_019405.1	NC_021858.1	0.0000	3903	3814	35.4	337	459	40.0
ERR1136613_Contig_22031_8.46698:1.5063	NC_019405.1	NC_022331.2	0.0000	3903	3814	35.4	4279	4338	36.8
ERR1136613_Contig_22031_8.46698:1.5063	NC_019407.1	NC_021858.1	0.0000	3726	3547	37.3	337	459	40.0
ERR1136613_Contig_22031_8.46698:1.5063	NC_019407.1	NC_022331.2	0.0000	3726	3547	37.3	4279	4338	36.8
ERR1136613_Contig_22031_8.46698:1.5063	NC_019407.1	NC_023686.1	0.0000	3726	3547	37.3	3849	3748	36.8
ERR1136613_Contig_22031_8.46698:1.5063	NC_021858.1	NC_022331.2	0.0000	337	459	40.0	4279	4338	36.8
ERR1136613_Contig_22031_8.46698:1.5063	NC_021858.1	NC_023686.1	0.0000	337	459	40.0	3849	3748	36.8
ERR1136613_Contig_22031_8.46698:1.5063	NC_022331.2	NC_023686.1	0.0000	4279	4338	36.8	3849	3748	36.8
ERR1136613_Contig_53166_8.79911:1.2255	NC_023600.1	NC_024145.1	0.0000	1500	1601	33.1	1083	1217	33.6
ERR1136613_Contig_36806_8.05714:1.1945	NC_010576.1	NC_023735.1	0.0000	502	810	78.5	821	1234	175
ERR1136613_Contig_2886_7.29808:1.2630	NC_004812.1	NC_006560.1	0.0000	940	1107	37.7	652	503	37.3
ERR1136613_Contig_2886_7.29808:1.2630	NC_004812.1	NC_007653.1	0.0000	940	1107	37.7	1776	1561	41.4
ERR1136613_Contig_2886_7.29808:1.2630	NC_004812.1	NC_022266.1	0.0000	940	1107	37.7	1957	2334	36.3
ERR1136613_Contig_2886_7.29808:1.2630	NC_004812.1	NC_028809.1	0.0000	940	1107	37.7	1369	1521	33.1
ERR1136613_Contig_2886_7.29808:1.2630	NC_004812.1	NC_034446.1	0.0000	940	1107	37.7	2442	2299	38.2
ERR1136613_Contig_2886_7.29808:1.2630	NC_006560.1	NC_007653.1	0.0000	652	503	37.3	1776	1561	41.4
ERR1136613_Contig_2886_7.29808:1.2630	NC_006560.1	NC_013804.1	0.0000	652	503	37.3	886	963	35.9
ERR1136613_Contig_2886_7.29808:1.2630	NC_006560.1	NC_022266.1	0.0000	652	503	37.3	1957	2334	36.3
ERR1136613_Contig_2886_7.29808:1.2630	NC_006560.1	NC_028809.1	0.0000	652	503	37.3	1369	1521	33.1
ERR1136613_Contig_2886_7.29808:1.2630	NC_006560.1	NC_034446.1	0.0000	652	503	37.3	2442	2299	38.2
ERR1136613_Contig_2886_7.29808:1.2630	NC_007653.1	NC_013804.1	0.0000	1776	1561	41.4	886	963	35.9
ERR1136613_Contig_2886_7.29808:1.2630	NC_007653.1	NC_022266.1	0.0000	1776	1561	41.4	1957	2334	36.3
ERR1136613_Contig_2886_7.29808:1.2630	NC_007653.1	NC_028809.1	0.0000	1776	1561	41.4	1369	1521	33.1
ERR1136613_Contig_2886_7.29808:1.2630	NC_007653.1	NC_034446.1	0.0000	1776	1561	41.4	2442	2299	38.2
