#Original	New
ERR1857044_NC_009333.1_1:1.1208	LOC_1
ERR1857044_Contig_86417_385.547:1.1463	LOC_79
ERR1857044_Contig_20106_19.1284:1.1702	LOC_80
ERR1857044_Contig_23361_378.592:1.22688	LOC_81
ERR1857044_Contig_72540_400.989:1.6849	LOC_82
ERR1857044_Contig_25913_9.21275:1.1651	LOC_83
ERR1857044_Contig_31933_390.959:1.1398	LOC_84
ERR1857044_Contig_91033_12.7697:1.3099	LOC_85
ERR1857044_Contig_72359_381.781:1.2964	LOC_86
ERR1857044_Contig_6625_19.0493:1.1502	LOC_87
ERR1857044_Contig_49184_30.0148:1.1171	LOC_88
ERR1857044_Contig_26578_485.275:1.1898	LOC_89
ERR1857044_Contig_28561_10.5851:1.1348	LOC_90
ERR1857044_Contig_58295_22.1871:1.1875	LOC_91
ERR1857044_Contig_12301_7.43137:1.1040	LOC_92
ERR1857044_Contig_84712_455.286:1.9853	LOC_93
ERR1857044_Contig_29130_312.163:1.1039	LOC_94
ERR1857044_Contig_29614_282.784:1.3987	LOC_95
ERR1857044_Contig_39262_17.721:1.2475	LOC_96
ERR1857044_Contig_11640_13.7127:1.1120	LOC_97
ERR1857044_Contig_18734_397.458:1.1080	LOC_98
ERR1857044_Contig_35980_244.906:1.4087	LOC_99
ERR1857044_Contig_14306_358.324:1.2169	LOC_100
ERR1857044_Contig_85279_494.418:1.2725	LOC_101
ERR1857044_Contig_37984_425.43:1.1728	LOC_102
ERR1857044_Contig_43417_366.094:1.1451	LOC_103
ERR1857044_Contig_4612_12.652:1.1316	LOC_104
ERR1857044_Contig_5061_425.242:1.2473	LOC_105
ERR1857044_Contig_79779_434.919:1.1677	LOC_106
ERR1857044_Contig_22040_23.1618:1.1818	LOC_107
ERR1857044_Contig_45569_12.4383:1.1131	LOC_108
ERR1857044_Contig_92773_408.23:1.1793	LOC_109
ERR1857044_Contig_63142_98.9015:1.2386	LOC_110
ERR1857044_Contig_55097_7.2919:1.1613	LOC_111
ERR1857044_Contig_63673_417.4:1.3742	LOC_112
ERR1857044_Contig_12809_372.327:1.2684	LOC_113
ERR1857044_Contig_92621_409.345:1.2907	LOC_114
ERR1857044_Contig_30971_380.167:1.3324	LOC_115
ERR1857044_Contig_72768_622.852:1.1422	LOC_116
ERR1857044_Contig_13279_326.097:1.2366	LOC_117
ERR1857044_Contig_23805_406.05:1.1472	LOC_118
ERR1857044_Contig_58809_394.53:1.1372	LOC_119
ERR1857044_Contig_70709_222.196:1.2203	LOC_120
ERR1857044_Contig_2449_314.781:1.1474	LOC_121
ERR1857044_Contig_29441_342.651:1.3134	LOC_122
ERR1857044_Contig_74910_386.226:1.1201	LOC_123
ERR1857044_Contig_10957_446.791:1.1141	LOC_124
ERR1857044_Contig_14423_428.754:1.1500	LOC_125
ERR1857044_Contig_27987_382.341:1.2987	LOC_126
ERR1857044_Contig_45404_401.355:1.1546	LOC_127
ERR1857044_Contig_37236_589.291:1.1797	LOC_128
ERR1857044_Contig_83880_364.694:1.7223	LOC_129
ERR1857044_Contig_49357_20.4389:1.1109	LOC_130
ERR1857044_Contig_52810_411.87:1.1721	LOC_131
ERR1857044_Contig_88651_20.4496:1.1210	LOC_132
ERR1857044_Contig_70061_367.816:1.1681	LOC_133
ERR1857044_Contig_24059_452.516:1.3992	LOC_134
ERR1857044_Contig_6034_401.073:1.4374	LOC_135
ERR1857044_Contig_91222_8.84177:1.1126	LOC_136
ERR1857044_Contig_45224_349.243:1.1042	LOC_137
ERR1857044_Contig_48257_444.739:1.1514	LOC_138
ERR1857044_Contig_27786_390.022:1.1471	LOC_139
ERR1857044_Contig_55940_7.97488:1.3523	LOC_140
ERR1857044_Contig_25815_415.969:1.1547	LOC_141
ERR1857044_Contig_38069_39.125:1.2716	LOC_142
ERR1857044_Contig_21415_478.184:1.1357	LOC_143
ERR1857044_Contig_91748_331.467:1.2241	LOC_144
ERR1857044_Contig_66429_42.2744:1.1456	LOC_145
ERR1857044_Contig_8850_344.002:1.1244	LOC_146
ERR1857044_Contig_58040_9.95592:1.1540	LOC_147
ERR1857044_Contig_23738_238.051:1.1224	LOC_148
ERR1857044_Contig_43773_394.447:1.2235	LOC_149
ERR1857044_Contig_64186_359.619:1.2040	LOC_150
ERR1857044_Contig_68472_382.559:1.1064	LOC_151
ERR1857044_Contig_57180_19.2891:1.1210	LOC_152
ERR1857044_Contig_64553_1492.22:1.1474	LOC_153
ERR1857044_Contig_41881_43.2252:1.4762	LOC_154
ERR1857044_Contig_17411_8.66992:1.1147	LOC_155
ERR1857044_Contig_3240_420.563:1.1537	LOC_156
ERR1857044_Contig_39225_26.8954:1.2286	LOC_157
ERR1857044_Contig_11612_342.527:1.2711	LOC_158
ERR1857044_Contig_58713_390.361:1.1076	LOC_159
ERR1857044_Contig_50279_8.06237:1.1431	LOC_160
ERR1857044_Contig_43590_362.655:1.5827	LOC_161
ERR1857044_Contig_14830_311.012:1.4796	LOC_162
ERR1857044_Contig_80011_425.417:1.2632	LOC_163
ERR1857044_Contig_13537_431.509:1.1667	LOC_164
ERR1857044_Contig_42226_382.329:1.1387	LOC_165
ERR1857044_Contig_8575_331.655:1.1862	LOC_166
ERR1857044_Contig_9801_299.515:1.3189	LOC_167
ERR1857044_Contig_44858_478.249:1.3488	LOC_168
ERR1857044_Contig_31845_40.0029:1.1410	LOC_169
ERR1857044_Contig_2266_13.3603:1.1405	LOC_170
ERR1857044_Contig_67993_392.612:1.3750	LOC_171
ERR1857044_Contig_44646_357.955:1.2382	LOC_172
ERR1857044_Contig_47251_14.8632:1.1833	LOC_173
ERR1857044_Contig_60268_12.6375:1.2431	LOC_174
ERR1857044_Contig_71784_428.442:1.1035	LOC_175
ERR1857044_Contig_55724_25.502:1.1500	LOC_176
ERR1857044_Contig_18193_375.152:1.2603	LOC_177
ERR1857044_Contig_63758_347.443:1.1156	LOC_178
ERR1857044_Contig_49211_33.0993:1.2446	LOC_179
ERR1857044_Contig_1022_433.658:1.1340	LOC_180
ERR1857044_Contig_18164_27.6693:1.1284	LOC_181
ERR1857044_Contig_28488_14.9653:1.1201	LOC_182
ERR1857044_Contig_88803_392.838:1.1447	LOC_183
ERR1857044_Contig_74640_33.331:1.1902	LOC_184
ERR1857044_Contig_7492_154.263:1.1178	LOC_185
ERR1857044_Contig_8009_10.3003:1.1955	LOC_186
ERR1857044_Contig_31873_415.138:1.2578	LOC_187
ERR1857044_Contig_8887_387.04:1.1027	LOC_188
ERR1857044_Contig_1373_13.9355:1.1756	LOC_189
ERR1857044_Contig_56341_384.139:1.4260	LOC_190
ERR1857044_Contig_6759_8.60028:1.1446	LOC_191
ERR1857044_Contig_2280_48.6084:1.2267	LOC_192
ERR1857044_Contig_5985_9.8532:1.1941	LOC_193
ERR1857044_Contig_28887_337.903:1.2400	LOC_194
ERR1857044_Contig_32752_10.0827:1.1108	LOC_195
ERR1857044_Contig_65712_2092.95:1.1285	LOC_196
ERR1857044_Contig_51013_432.123:1.1956	LOC_197
ERR1857044_Contig_42948_393.741:1.2045	LOC_198
ERR1857044_Contig_19537_361.136:1.3426	LOC_199
ERR1857044_Contig_15829_348.828:1.2754	LOC_200
ERR1857044_Contig_74864_430.082:1.2548	LOC_201
ERR1857044_Contig_47250_389.522:1.1264	LOC_202
ERR1857044_Contig_10291_13.4066:1.1385	LOC_203
ERR1857044_Contig_1960_10.7962:1.1438	LOC_204
ERR1857044_Contig_11552_422.662:1.4378	LOC_205
ERR1857044_Contig_58260_373.764:1.1023	LOC_206
ERR1857044_Contig_63510_10.617:1.1589	LOC_207
ERR1857044_Contig_59349_404.023:1.2827	LOC_208
ERR1857044_Contig_79567_315.994:1.1253	LOC_209
ERR1857044_Contig_81633_39.9462:1.1136	LOC_210
ERR1857044_Contig_72157_406.018:1.2059	LOC_211
ERR1857044_Contig_79693_16.6021:1.1450	LOC_212
ERR1857044_Contig_54445_407.872:1.6134	LOC_213
ERR1857044_Contig_21815_10.2939:1.3269	LOC_214
ERR1857044_Contig_84146_8.39645:1.1203	LOC_215
ERR1857044_Contig_12883_488.218:1.3642	LOC_216
ERR1857044_Contig_17433_408.417:1.1031	LOC_217
ERR1857044_Contig_47420_10.5842:1.1023	LOC_218
ERR1857044_Contig_74737_11.9925:1.2022	LOC_219
ERR1857044_Contig_58125_380.629:1.1135	LOC_220
ERR1857044_Contig_83160_388.568:1.1109	LOC_221
ERR1857044_Contig_87308_505.184:1.1729	LOC_222
ERR1857044_Contig_65439_387.16:1.1743	LOC_223
ERR1857044_Contig_75102_11.0603:1.1032	LOC_224
ERR1857044_Contig_63869_22.2583:1.1046	LOC_225
ERR1857044_Contig_14329_12.0514:1.1032	LOC_226
ERR1857044_Contig_50399_389.116:1.1810	LOC_227
ERR1857044_Contig_26087_401.841:1.1281	LOC_228
ERR1857044_Contig_12957_352.631:1.1618	LOC_229
ERR1857044_Contig_66413_321.843:1.3379	LOC_230
ERR1857044_Contig_29984_428.375:1.1882	LOC_231
ERR1857044_Contig_58262_631.221:1.1752	LOC_232
ERR1857044_Contig_30211_41.1223:1.1189	LOC_233
ERR1857044_Contig_33017_419.67:1.1509	LOC_234
ERR1857044_Contig_86713_11.1366:1.1023	LOC_235
ERR1857044_Contig_70171_5.94861:1.1246	LOC_236
ERR1857044_Contig_44723_1286.6:1.1238	LOC_237
ERR1857044_Contig_35134_10.7334:1.1419	LOC_238
ERR1857044_Contig_31082_23.3088:1.1037	LOC_239
ERR1857044_Contig_69743_319.42:1.7619	LOC_240
ERR1857044_Contig_88942_37.9439:1.1928	LOC_241
ERR1857044_Contig_84871_424.249:1.1096	LOC_242
ERR1857044_Contig_38375_28.0405:1.1083	LOC_243
ERR1857044_Contig_32137_19.5335:1.5147	LOC_244
ERR1857044_Contig_54166_408.299:1.1506	LOC_245
ERR1857044_Contig_22270_390.136:1.1117	LOC_246
ERR1857044_Contig_79160_384.833:1.2473	LOC_247
ERR1857044_Contig_18958_376.439:1.1925	LOC_248
ERR1857044_Contig_48277_307.013:1.5744	LOC_249
ERR1857044_Contig_24809_65.6447:1.1551	LOC_250
ERR1857044_Contig_82648_12.0569:1.2936	LOC_251
ERR1857044_Contig_63545_14.0523:1.1378	LOC_252
ERR1857044_Contig_92836_21.8428:1.1820	LOC_253
ERR1857044_Contig_84173_319.046:1.2678	LOC_254
ERR1857044_Contig_91764_8.61441:1.1672	LOC_255
ERR1857044_Contig_50536_368.473:1.1396	LOC_256
ERR1857044_Contig_71354_24.7063:1.1072	LOC_257
ERR1857044_Contig_46497_298.55:1.1382	LOC_258
ERR1857044_Contig_34363_36.4822:1.1090	LOC_259
ERR1857044_Contig_28037_341.56:1.1290	LOC_260
ERR1857044_Contig_547_352.207:1.1438	LOC_261
ERR1857044_Contig_86598_6.62998:1.1628	LOC_262
ERR1857044_Contig_20725_319.151:1.1041	LOC_263
ERR1857044_Contig_45514_355.029:1.1375	LOC_264
ERR1857044_Contig_34428_306.826:1.1366	LOC_265
ERR1857044_Contig_26174_340.504:1.1412	LOC_266
ERR1857044_Contig_3835_361.496:1.1010	LOC_267
ERR1857044_Contig_81377_325.275:1.3956	LOC_268
ERR1857044_Contig_61425_335.68:1.3868	LOC_269
ERR1857044_Contig_6_393.229:1.3832	LOC_270
ERR1857044_Contig_52760_313.614:1.3199	LOC_271
ERR1857044_Contig_1481_404.004:1.8234	LOC_272
ERR1857044_Contig_31129_330.843:1.3357	LOC_273
ERR1857044_Contig_61188_415.765:1.1269	LOC_274
ERR1857044_Contig_59856_145.298:1.2644	LOC_275
ERR1857044_Contig_15132_22.8175:1.1039	LOC_276
ERR1857044_Contig_37220_372.962:1.3359	LOC_277
ERR1857044_Contig_63082_14.3026:1.2363	LOC_278
ERR1857044_Contig_5276_427.334:1.1039	LOC_279
ERR1857044_Contig_85813_7.16135:1.1024	LOC_280
ERR1857044_Contig_19958_28.6342:1.1510	LOC_281
ERR1857044_Contig_43487_409.778:1.2472	LOC_282
ERR1857044_Contig_37099_364.88:1.1075	LOC_283
ERR1857044_Contig_79402_9.61156:1.2113	LOC_284
ERR1857044_Contig_79752_13.0996:1.1466	LOC_285
ERR1857044_Contig_76354_23.1038:1.1003	LOC_286
ERR1857044_Contig_55776_24.935:1.4422	LOC_287
ERR1857044_Contig_91397_19.7478:1.1277	LOC_288
ERR1857044_Contig_74454_334.942:1.1289	LOC_289
ERR1857044_Contig_58375_392.914:1.2521	LOC_290
ERR1857044_Contig_75171_13.0356:1.4094	LOC_291
ERR1857044_Contig_48435_14.7482:1.3133	LOC_292
ERR1857044_Contig_26369_14.1379:1.1180	LOC_293
ERR1857044_Contig_52562_18.4609:1.1300	LOC_294
ERR1857044_Contig_93750_14.9519:1.1661	LOC_295
ERR1857044_Contig_10415_331.891:1.1577	LOC_296
ERR1857044_Contig_85941_316.776:1.1424	LOC_297
ERR1857044_Contig_18366_428.202:1.1881	LOC_298
ERR1857044_Contig_6448_472.079:1.2739	LOC_299
ERR1857044_Contig_81713_427.555:1.2550	LOC_300
ERR1857044_Contig_49517_435.215:1.1381	LOC_301
ERR1857044_Contig_35879_366.387:1.1379	LOC_302
ERR1857044_Contig_21098_12.3172:1.1199	LOC_303
ERR1857044_Contig_42306_387.975:1.2715	LOC_304
ERR1857044_Contig_89231_10.433:1.1364	LOC_305
ERR1857044_Contig_17219_356.054:1.4683	LOC_306
ERR1857044_Contig_65199_357.267:1.6652	LOC_307
ERR1857044_Contig_419_223.338:1.1544	LOC_308
ERR1857044_Contig_79818_15.4106:1.2241	LOC_309
ERR1857044_Contig_829_412.054:1.1322	LOC_310
ERR1857044_Contig_28891_146.848:1.2021	LOC_311
ERR1857044_Contig_70400_343.373:1.2171	LOC_312
ERR1857044_Contig_86612_100.465:1.1207	LOC_313
ERR1857044_Contig_46573_464.32:1.1124	LOC_314
ERR1857044_Contig_59974_36.179:1.1389	LOC_315
ERR1857044_Contig_92484_489.845:1.1003	LOC_316
ERR1857044_Contig_69776_301.152:1.2129	LOC_317
ERR1857044_Contig_28564_6.78057:1.1492	LOC_318
ERR1857044_Contig_68734_108.771:1.1268	LOC_319
ERR1857044_Contig_4428_428.123:1.2059	LOC_320
ERR1857044_Contig_82705_14.9416:1.2022	LOC_321
ERR1857044_Contig_45407_34.3559:1.3012	LOC_322
ERR1857044_Contig_23559_7.31123:1.1498	LOC_323
ERR1857044_Contig_50924_20.7128:1.1075	LOC_324
ERR1857044_Contig_71910_13.9663:1.1532	LOC_325
ERR1857044_Contig_85786_388.473:1.2122	LOC_326
ERR1857044_Contig_25110_415.921:1.1430	LOC_327
ERR1857044_Contig_91475_326.084:1.4504	LOC_328
ERR1857044_Contig_69794_500.178:1.1544	LOC_329
ERR1857044_Contig_84103_44.0998:1.1293	LOC_330
ERR1857044_Contig_33020_138.192:1.1083	LOC_331
ERR1857044_Contig_64177_22.7673:1.1120	LOC_332
ERR1857044_Contig_44686_363.082:1.1707	LOC_333
ERR1857044_Contig_87870_23.0203:1.1746	LOC_334
ERR1857044_Contig_33469_36.9308:1.1392	LOC_335
ERR1857044_Contig_73998_9.66859:1.1236	LOC_336
ERR1857044_Contig_2462_305.427:1.1659	LOC_337
ERR1857044_Contig_93623_23.38:1.1507	LOC_338
ERR1857044_Contig_79283_414.22:1.4123	LOC_339
ERR1857044_Contig_23522_10.1245:1.1619	LOC_340
ERR1857044_Contig_47613_5.57768:1.1346	LOC_341
ERR1857044_Contig_80043_402.836:1.2554	LOC_342
ERR1857044_Contig_63876_14.3661:1.1760	LOC_343
ERR1857044_Contig_77909_9.07551:1.1106	LOC_344
ERR1857044_Contig_51499_8.72321:1.1140	LOC_345
ERR1857044_Contig_27621_406.895:1.1376	LOC_346
ERR1857044_Contig_59819_36.0891:1.2949	LOC_347
ERR1857044_Contig_30608_401.233:1.2644	LOC_348
ERR1857044_Contig_23753_319.425:1.2034	LOC_349
ERR1857044_Contig_80940_342.704:1.3393	LOC_350
ERR1857044_Contig_51325_28.0631:1.2954	LOC_351
ERR1857044_Contig_29809_409.446:1.1649	LOC_352
ERR1857044_Contig_1752_23.0629:1.1292	LOC_353
ERR1857044_Contig_89303_239.918:1.2899	LOC_354
ERR1857044_Contig_33693_7.90541:1.1130	LOC_355
ERR1857044_Contig_17714_236.112:1.1079	LOC_356
ERR1857044_Contig_48382_323.825:1.1300	LOC_357
ERR1857044_Contig_22141_463.217:1.1923	LOC_358
ERR1857044_Contig_82432_398.739:1.2623	LOC_359
ERR1857044_Contig_47738_7.49722:1.2361	LOC_360
ERR1857044_Contig_15596_412.733:1.2400	LOC_361
ERR1857044_Contig_90682_411.33:1.2129	LOC_362
ERR1857044_Contig_13261_386.978:1.4311	LOC_363
ERR1857044_Contig_3976_19.2074:1.2373	LOC_364
ERR1857044_Contig_18330_442.24:1.3024	LOC_365
ERR1857044_Contig_5767_383.658:1.1322	LOC_366
ERR1857044_Contig_59561_21.9799:1.1013	LOC_367
ERR1857044_Contig_4001_12.644:1.1183	LOC_368
ERR1857044_Contig_28095_401.678:1.3035	LOC_369
ERR1857044_Contig_22047_11.0755:1.2127	LOC_370
ERR1857044_Contig_15903_379.242:1.1257	LOC_371
ERR1857044_Contig_28673_392.473:1.1468	LOC_372
ERR1857044_Contig_202_345.316:1.2200	LOC_373
ERR1857044_Contig_80629_27.4751:1.1847	LOC_374
ERR1857044_Contig_50105_9.15404:1.1591	LOC_375
ERR1857044_Contig_88727_9.57167:1.2385	LOC_376
ERR1857044_Contig_28779_38.4169:1.2097	LOC_377
ERR1857044_Contig_3710_465.154:1.1027	LOC_378
ERR1857044_Contig_55546_8.70084:1.1805	LOC_379
ERR1857044_Contig_74336_381.591:1.1655	LOC_380
ERR1857044_Contig_74440_14.5821:1.1068	LOC_381
ERR1857044_Contig_88205_7.38997:1.1197	LOC_382
ERR1857044_Contig_43572_11.9601:1.1274	LOC_383
ERR1857044_Contig_3542_360.462:1.1813	LOC_384
ERR1857044_Contig_89069_380.985:1.1357	LOC_385
ERR1857044_Contig_20125_375.969:1.2232	LOC_386
ERR1857044_Contig_3603_315.308:1.4678	LOC_387
ERR1857044_Contig_44961_12.2719:1.1370	LOC_388
ERR1857044_Contig_43153_327.894:1.1497	LOC_389
ERR1857044_Contig_68504_325.007:1.1835	LOC_390
ERR1857044_Contig_79047_367.239:1.1240	LOC_391
ERR1857044_Contig_55526_38.743:1.4541	LOC_392
ERR1857044_Contig_59366_10.6978:1.1506	LOC_393
ERR1857044_Contig_85758_319.61:1.1126	LOC_394
ERR1857044_Contig_85533_12.1654:1.1368	LOC_395
ERR1857044_Contig_9540_37.2786:1.1025	LOC_396
ERR1857044_Contig_18634_15.2325:1.2054	LOC_397
ERR1857044_Contig_80167_9.86426:1.1324	LOC_398
ERR1857044_Contig_17934_23.1553:1.1514	LOC_399
ERR1857044_Contig_39289_29.1176:1.1295	LOC_400
ERR1857044_Contig_46650_18.04:1.2096	LOC_401
ERR1857044_Contig_41179_19.361:1.1200	LOC_402
ERR1857044_Contig_68864_15.9162:1.1070	LOC_403
ERR1857044_Contig_58672_446.071:1.2046	LOC_404
ERR1857044_Contig_22887_13.7061:1.1381	LOC_405
ERR1857044_Contig_93594_21.4853:1.1075	LOC_406
ERR1857044_Contig_79928_359.483:1.1699	LOC_407
ERR1857044_Contig_21277_13.1566:1.1355	LOC_408
ERR1857044_Contig_92601_408.765:1.1258	LOC_409
ERR1857044_Contig_87952_383.855:1.1381	LOC_410
ERR1857044_Contig_15075_379.168:1.1457	LOC_411
ERR1857044_Contig_18153_396.992:1.1152	LOC_412
ERR1857044_Contig_9193_355.649:1.1059	LOC_413
ERR1857044_Contig_53258_350.171:1.2033	LOC_414
ERR1857044_Contig_78961_460.64:1.2412	LOC_415
ERR1857044_Contig_70473_6.84998:1.2253	LOC_416
ERR1857044_Contig_64532_10.8206:1.2333	LOC_417
ERR1857044_Contig_27676_396.14:1.1222	LOC_418
ERR1857044_Contig_89518_8.29675:1.1004	LOC_419
ERR1857044_Contig_87571_407.187:1.2160	LOC_420
ERR1857044_Contig_8906_392.679:1.1057	LOC_421
ERR1857044_Contig_9118_10.7355:1.1230	LOC_422
ERR1857044_Contig_50440_380.189:1.2167	LOC_423
ERR1857044_Contig_18566_11.2398:1.1225	LOC_424
ERR1857044_Contig_89640_408.704:1.2961	LOC_425
ERR1857044_Contig_9912_15.2256:1.2684	LOC_426
ERR1857044_Contig_84331_325.72:1.1848	LOC_427
ERR1857044_Contig_13735_370.066:1.4562	LOC_428
ERR1857044_Contig_16687_15.6167:1.1494	LOC_429
ERR1857044_Contig_61620_5.18002:1.1281	LOC_430
ERR1857044_Contig_1392_428.651:1.1789	LOC_431
ERR1857044_Contig_3560_11.4881:1.2286	LOC_432
ERR1857044_Contig_4356_360.503:1.1300	LOC_433
ERR1857044_Contig_2831_11.8767:1.2809	LOC_434
ERR1857044_Contig_55674_4.94341:1.1098	LOC_435
ERR1857044_Contig_2816_341.848:1.1399	LOC_436
ERR1857044_Contig_27705_392.97:1.1374	LOC_437
ERR1857044_Contig_86349_11.6338:1.1784	LOC_438
ERR1857044_Contig_40157_35.4352:1.1201	LOC_439
ERR1857044_Contig_68138_25.132:1.1050	LOC_440
ERR1857044_Contig_15180_24.41:1.3635	LOC_441
ERR1857044_Contig_21171_15.0267:1.1032	LOC_442
ERR1857044_Contig_75628_382.268:1.3001	LOC_443
ERR1857044_Contig_81802_13.2104:1.2629	LOC_444
ERR1857044_Contig_20170_9.23952:1.4145	LOC_445
ERR1857044_Contig_45632_23.8953:1.1500	LOC_446
ERR1857044_Contig_16877_10.4289:1.2981	LOC_447
ERR1857044_Contig_57184_411.327:1.2610	LOC_448
ERR1857044_Contig_55547_420.617:1.1509	LOC_449
ERR1857044_Contig_20144_24.1013:1.2014	LOC_450
ERR1857044_Contig_91168_21.4771:1.1135	LOC_451
ERR1857044_Contig_14517_21.6164:1.1670	LOC_452
ERR1857044_Contig_72823_39.2514:1.1746	LOC_453
ERR1857044_Contig_70550_400.304:1.1043	LOC_454
ERR1857044_Contig_21093_25.3196:1.1137	LOC_455
ERR1857044_Contig_19974_34.9887:1.1439	LOC_456
ERR1857044_Contig_36896_35.3767:1.1095	LOC_457
ERR1857044_Contig_2504_386.846:1.1268	LOC_458
ERR1857044_Contig_7523_22.5766:1.1952	LOC_459
ERR1857044_Contig_49457_360.476:1.1043	LOC_460
ERR1857044_Contig_93005_388.747:1.1153	LOC_461
ERR1857044_Contig_45360_11.0568:1.2572	LOC_462
ERR1857044_Contig_12401_387.312:1.1307	LOC_463
ERR1857044_Contig_81095_37.7844:1.1574	LOC_464
ERR1857044_Contig_60625_22.5734:1.1485	LOC_465
ERR1857044_Contig_80604_10.638:1.1531	LOC_466
ERR1857044_Contig_17957_9.34548:1.1337	LOC_467
ERR1857044_Contig_11130_20.2334:1.1211	LOC_468
ERR1857044_Contig_93370_36.0577:1.1095	LOC_469
ERR1857044_Contig_87081_198.315:1.3924	LOC_470
ERR1857044_Contig_1796_9.05647:1.1118	LOC_471
ERR1857044_Contig_68956_16.1769:1.2581	LOC_472
ERR1857044_Contig_38704_19.6879:1.7568	LOC_473
ERR1857044_Contig_8492_9.53019:1.1825	LOC_474
ERR1857044_Contig_46986_328.094:1.2875	LOC_475
