accession,qseqid,qlen,sacc,staxids,sscinames,slen,pident,evalue,bitscore,length
ERR1136610,Contig_13457_7.74855:1.1225,1225,NC_028826,1718158,Enterococcus phage IME-EFm5,42265,88.727,0.0,1162,958
ERR1136610,Contig_45155_6.61047:1.1930,1930,NC_024356,1445858,Enterococcus phage IME-EFm1,42597,95.607,0.0,2335,1457
ERR1136699,Contig_23892_2109.97:1.5343,5343,NC_001422,10847,Escherichia virus phiX174,5386,99.926,0.0,7489,4064
ERR1136825,Contig_62_2338.97_Circ:1.5386,5386,NC_001422,10847,Escherichia virus phiX174,5386,99.898,0.0,5430,2949
ERR1136842,Contig_52_2849.7_Circ:1.5386,5386,NC_001422,10847,Escherichia virus phiX174,5386,99.898,0.0,5430,2949
ERR1137007,Contig_151913_15.352:1.2429,2429,NC_019708,1147150,Enterobacteria phage mEp235,37595,98.069,0.0,2523,1450
ERR1137007,Contig_153469_16.4921:1.1865,1865,NC_031940,1813771,Salmonella phage 118970_sal3,77375,96.667,0.0,2292,1380
ERR1137007,Contig_55023_18.336:1.1029,1029,NC_027339,1225789,Enterobacteria phage SfI,38389,97.911,0.0,1242,718
ERR1137007,Contig_57127_16.3032:1.2019,2019,NC_011976,348058,Salmonella phage epsilon34,43016,98.538,0.0,2174,1231
ERR1137007,Contig_61_3063.12_Circ:1.5386,5386,NC_001422,10847,Escherichia virus phiX174,5386,99.898,0.0,5430,2949
ERR1137007,Contig_66864_16.9699:1.1284,1284,NC_019719,1147147,Enterobacteria phage HK633,41528,98.160,0.0,1138,652
ERR1137007,Contig_70962_14.8294:1.1005,1005,NC_019719,1147147,Enterobacteria phage HK633,41528,94.891,0.0,1066,685
ERR1137316,Contig_33401_12.2655:1.2513,2513,NC_024711,1211417,uncultured crAssphage,97065,93.556,0.0,2536,1707
ERR1137316,Contig_35158_10.4489:1.1477,1477,NC_024711,1211417,uncultured crAssphage,97065,96.000,0.0,1544,950
ERR1137615,Contig_1436_8.47795:1.1675,1675,NC_024711,1211417,uncultured crAssphage,97065,92.830,0.0,1901,1311
ERR1137615,Contig_454_7.88033:1.1240,1240,NC_024711,1211417,uncultured crAssphage,97065,88.041,0.0,1147,970
ERR1137615,Contig_649_8.09361:1.4400,4400,NC_024711,1211417,uncultured crAssphage,97065,94.361,0.0,4076,2660
ERR1137674,NC_024711.1_1:1.58649,58649,NC_024711,1211417,uncultured crAssphage,97065,96.582,0.0,37209,22468
ERR1137749,Contig_6300_420.217:1.5343,5343,NC_001422,10847,Escherichia virus phiX174,5386,99.926,0.0,7489,4064
ERR1198230,Contig_26_362.627_Circ:1.5386,5386,NC_001422,10847,Escherichia virus phiX174,5386,99.898,0.0,5430,2949
ERR1293584,Contig_12113_66.9191:1.4702,4702,NC_016770,1105171,Bacteroides phage B124-14,47159,95.283,0.0,4030,2544
ERR1293584,Contig_47240_60.1084:1.8473,8473,NC_011222,99179,Bacteroides phage B40-8,44929,93.681,0.0,7415,4969
ERR1293584,Contig_6246_62.6392:1.4735,4735,NC_016770,1105171,Bacteroides phage B124-14,47159,93.361,0.0,3845,2606
ERR1301357,Contig_21846_82.1538:1.1093,1093,NC_029099,1129191,Klebsiella phage KP36,49797,92.527,0.0,1205,843
ERR1301357,NC_024711.1_1:1.28999,28999,NC_024711,1211417,uncultured crAssphage,97065,95.142,0.0,28164,17888
ERR1301357,NC_024711.1_2:1.28513,28513,NC_024711,1211417,uncultured crAssphage,97065,96.221,0.0,36326,22201
ERR1301357,NC_024711.1_4:1.20688,20688,NC_024711,1211417,uncultured crAssphage,97065,94.980,0.0,18757,11993
ERR1301357,NC_024711.1_8:1.5168,5168,NC_024711,1211417,uncultured crAssphage,97065,95.163,0.0,4165,2646
ERR1301357,NC_024711.1_9:1.5085,5085,NC_024711,1211417,uncultured crAssphage,97065,95.331,0.0,4783,3020
ERR1301407,NC_024711.1_1:1.28999,28999,NC_024711,1211417,uncultured crAssphage,97065,95.142,0.0,28164,17888
ERR1301407,NC_024711.1_2:1.28513,28513,NC_024711,1211417,uncultured crAssphage,97065,96.225,0.0,36332,22201
ERR1301407,NC_024711.1_6:1.13248,13248,NC_024711,1211417,uncultured crAssphage,97065,95.522,0.0,11321,7102
ERR1301407,NC_024711.1_8:1.5734,5734,NC_024711,1211417,uncultured crAssphage,97065,95.331,0.0,4783,3020
ERR1301407,NC_024711.1_9:1.5166,5166,NC_024711,1211417,uncultured crAssphage,97065,95.159,0.0,4161,2644
ERR1301779,Contig_18367_51.8964:1.2577,2577,NC_019723,1147146,Enterobacteria phage HK630,47090,98.611,0.0,3057,1728
ERR1301779,Contig_30087_90.8184:1.5378,5378,NC_005344,10761,Shigella virus Sf6,39043,96.577,0.0,5035,3038
ERR1301779,Contig_50577_60.3149:1.1868,1868,NC_027339,1225789,Enterobacteria phage SfI,38389,93.101,0.0,2010,1377
ERR1301779,Contig_57113_1026.56:1.2148,2148,NC_026612,1449896,Uncultured phage WW-nAnB strain 2,5077,88.412,0.0,1596,1329
ERR1301779,NC_024711.1_11:1.3034,3034,NC_024711,1211417,uncultured crAssphage,97065,96.826,0.0,3107,1859
ERR1301779,NC_024711.1_23:1.2806,2806,NC_024711,1211417,uncultured crAssphage,97065,92.883,0.0,2381,1644
ERR1302416,Contig_24304_533.7:1.1246,1246,NC_038537,912967,Bocavirus pig/SX/China/2010,4786,99.438,0.0,1615,890
ERR1305913,NC_028774.1_5:1.4010,4010,NC_029099,1129191,Klebsiella phage KP36,49797,95.951,0.0,5049,3112
ERR1305913,NC_028774.1_6:1.17531,17531,NC_029099,1129191,Klebsiella phage KP36,49797,94.947,0.0,16273,10389
ERR1305913,NC_028774.1_7:1.20016,20016,NC_029099,1129191,Klebsiella phage KP36,49797,95.423,0.0,20495,12868
ERR1305913,NC_028786.1_3:1.21000,21000,NC_028774,1675609,Klebsiella phage Sushi,48754,96.848,0.0,24977,14942
ERR1305913,NC_028786.1_6:1.33743,33743,NC_028786,1610829,Klebsiella phage 1513,49462,95.670,0.0,33634,20947
ERR1306540,Contig_17_19.9736:1.3663,3663,NC_025447,1555202,Escherichia phage 121Q,348532,96.383,0.0,4224,2571
ERR1306540,Contig_2073_23.785:1.1276,1276,NC_003444,55884,Enterobacteria phage SfV,37074,97.504,0.0,1094,641
ERR1306540,Contig_3945_30.3847:1.1369,1369,NC_018843,1177632,Salmonella phage SSU5,103299,89.939,0.0,1064,825
ERR1306540,Contig_6491_22.4843:1.4381,4381,NC_027364,1273738,Escherichia phage PBECO 4,348113,98.709,0.0,4527,2557
ERR1306540,Contig_8499_42.55:1.1309,1309,NC_027364,1273738,Escherichia phage PBECO 4,348113,87.821,0.0,857,739
ERR1306541,Contig_5466_14.8435:1.2461,2461,NC_024786,1395983,Escherichia phage vB_EcoP_PhAPEC5,71248,88.221,0.0,1943,1647
ERR1306541,Contig_5835_8.43839:1.1432,1432,NC_026014,1567486,Enterobacteria phage P88,35814,88.247,0.0,1216,1021
ERR1306541,Contig_7061_10.7702:1.8428,8428,NC_019423,1239384,Escherichia phage IME11,72570,93.353,0.0,8117,5491
ERR1306541,Contig_7107_10.8935:1.1645,1645,NC_026014,1567486,Enterobacteria phage P88,35814,97.705,0.0,1724,1002
ERR1306541,Contig_7558_9.47427:1.1011,1011,NC_018854,1604356,Escherichia phage ECBP1,69855,91.667,0.0,881,636
ERR1306541,Contig_8012_6.31923:1.1060,1060,NC_021190,10713,Enterobacteria phage phi80,46150,89.969,0.0,837,648
ERR1306541,Contig_8968_5.38262:1.1021,1021,NC_010106,451705,Enterobacteria phage phiEcoM-GJ1,52975,93.056,0.0,1051,720
ERR1306541,Contig_9414_5.56967:1.1075,1075,NC_010106,451705,Enterobacteria phage phiEcoM-GJ1,52975,88.305,0.0,983,838
ERR1306543,NC_018859.1_3:1.10255,10255,NC_027395,1519788,Escherichia phage vB_EcoP_SU10,77327,87.125,0.0,6575,5864
ERR1306543,NC_018859.1_5:1.3728,3728,NC_018859,1604355,Escherichia phage ECBP2,77315,89.544,0.0,2436,1951
ERR1306543,NC_018859.1_6:1.2869,2869,NC_018859,1604355,Escherichia phage ECBP2,77315,89.720,0.0,2013,1605
ERR1306543,NC_018859.1_7:1.3840,3840,NC_010324,490103,Escherichia virus phiEco32,77554,85.552,0.0,2972,2900
ERR1306544,Contig_2261_6.35579:1.1653,1653,NC_028901,1720498,Escherichia phage slur05,43900,93.478,0.0,1502,1012
ERR1306544,Contig_8076_13.3951:1.1121,1121,NC_018843,1177632,Salmonella phage SSU5,103299,85.283,0.0,850,829
ERR1306544,NC_010106.1_15:1.1075,1075,NC_010106,451705,Enterobacteria phage phiEcoM-GJ1,52975,94.840,0.0,1118,717
ERR1306544,NC_010106.1_24:1.1188,1188,NC_010106,451705,Enterobacteria phage phiEcoM-GJ1,52975,90.660,0.0,822,621
ERR1306544,NC_010106.1_5:1.3794,3794,NC_010106,451705,Enterobacteria phage phiEcoM-GJ1,52975,92.119,0.0,3672,2614
ERR1306544,NC_015933.1_11:1.1394,1394,NC_024790,1391223,Escherichia phage vB_EcoP_PhAPEC7,71778,88.742,0.0,915,755
ERR1306544,NC_015933.1_1:1.10822,10822,NC_024786,1395983,Escherichia phage vB_EcoP_PhAPEC5,71248,92.288,0.0,8111,5731
ERR1306544,NC_015933.1_7:1.2477,2477,NC_015933,1054461,Escherichia phage vB_EcoP_G7C,72917,94.817,0.0,2464,1582
ERR1306544,NC_015933.1_8:1.2598,2598,NC_024790,1391223,Escherichia phage vB_EcoP_PhAPEC7,71778,94.898,0.0,2453,1568
ERR1306544,NC_018859.1_3:1.9004,9004,NC_027395,1519788,Escherichia phage vB_EcoP_SU10,77327,87.123,0.0,6573,5863
ERR1306544,NC_018859.1_4:1.3729,3729,NC_018859,1604355,Escherichia phage ECBP2,77315,90.407,0.0,2531,1939
ERR1306544,NC_018859.1_6:1.3235,3235,NC_018859,1604355,Escherichia phage ECBP2,77315,91.729,0.0,2580,1874
ERR1306544,NC_024786.1_4:1.7047,7047,NC_024786,1395983,Escherichia phage vB_EcoP_PhAPEC5,71248,95.246,0.0,5659,3576
ERR1306544,NC_024786.1_7:1.1883,1883,NC_024786,1395983,Escherichia phage vB_EcoP_PhAPEC5,71248,97.207,0.0,2545,1504
ERR1306544,NC_024786.1_8:1.2185,2185,NC_024786,1395983,Escherichia phage vB_EcoP_PhAPEC5,71248,97.436,0.0,2194,1287
ERR1306544,NC_025447.1_15:1.3236,3236,NC_025447,1555202,Escherichia phage 121Q,348532,88.298,0.0,2687,2256
ERR1306544,NC_025447.1_16:1.2601,2601,NC_025447,1555202,Escherichia phage 121Q,348532,90.038,0.0,2673,2078
ERR1306544,NC_025447.1_37:1.1828,1828,NC_025447,1555202,Escherichia phage 121Q,348532,88.764,0.0,1729,1424
ERR1306544,NC_025447.1_79:1.1427,1427,NC_025447,1555202,Escherichia phage 121Q,348532,90.012,0.0,1092,851
ERR1306544,NC_025447.1_87:1.1177,1177,NC_027364,1273738,Escherichia phage PBECO 4,348113,86.433,0.0,990,914
ERR1306544,NC_027364.1_30:1.3716,3716,NC_025447,1555202,Escherichia phage 121Q,348532,90.343,0.0,2466,1895
ERR1306544,NC_027364.1_31:1.1749,1749,NC_027364,1273738,Escherichia phage PBECO 4,348113,99.263,0.0,1716,950
ERR1306544,NC_027364.1_37:1.1595,1595,NC_027364,1273738,Escherichia phage PBECO 4,348113,97.541,0.0,1877,1098
ERR1306544,NC_027364.1_55:1.1310,1310,NC_027364,1273738,Escherichia phage PBECO 4,348113,97.436,0.0,1530,897
ERR1306544,NC_027364.1_88:1.1275,1275,NC_027364,1273738,Escherichia phage PBECO 4,348113,95.487,0.0,1127,709
ERR1306544,NC_027364.1_98:1.1158,1158,NC_027364,1273738,Escherichia phage PBECO 4,348113,93.833,0.0,1026,681
ERR1308128,Contig_211_12.9167:1.9981,9981,NC_011356,564886,Enterobacteria phage YYZ-2008,54896,96.737,0.0,11684,7018
ERR1308128,Contig_292_17.1635:1.1561,1561,NC_019716,1147152,Enterobacteria phage mEp460,44510,88.684,0.0,1053,866
ERR1308128,Contig_339_15.2927:1.5086,5086,NC_011357,563769,Stx2-converting phage 1717,62147,91.017,0.0,4174,3106
ERR1308128,Contig_37_16.5692:1.1429,1429,NC_011356,564886,Enterobacteria phage YYZ-2008,54896,93.836,0.0,1633,1087
ERR1308128,Contig_83_14.9847:1.18233,18233,NC_001416,10710,Escherichia virus Lambda,48502,97.213,0.0,19485,11518
ERR1418125,Contig_3_15.4948_Circ:1.5386,5386,NC_001422,10847,Escherichia virus phiX174,5386,99.898,0.0,5430,2949
ERR1449733,Contig_18811_7.61597:1.1197,1197,NC_011357,563769,Stx2-converting phage 1717,62147,97.953,0.0,1186,684
ERR1449733,Contig_39125_8.16302:1.2578,2578,NC_019445,1124654,Escherichia phage TL-2011b,44784,99.412,0.0,2464,1361
ERR1449733,Contig_55138_7.57705:1.3550,3550,NC_019488,929814,Salmonella phage RE-2010,34117,96.405,0.0,3941,2392
ERR1449733,NC_024711.1_4:1.15669,15669,NC_024711,1211417,uncultured crAssphage,97065,95.115,0.0,18515,11792
ERR1449733,NC_024711.1_5:1.12935,12935,NC_024711,1211417,uncultured crAssphage,97065,95.740,0.0,16275,10141
ERR1449733,NC_024711.1_7:1.4561,4561,NC_024711,1211417,uncultured crAssphage,97065,99.198,0.0,4494,2493
ERR1539547,Contig_81222_5.32457:1.1237,1237,NC_029014,1655645,Parabacteroides phage YZ-2015b,5001,99.722,0.0,1317,719
ERR1543946,Contig_20_204.449:1.7798,7798,NC_028699,1647463,Salmonella phage SEN34,40740,86.592,0.0,5834,5303
ERR1543987,Contig_38158_6.90955:1.1214,1214,NC_005056,103216,Escherichia virus Wphi,32684,93.269,0.0,917,624
ERR1543987,Contig_5861_13.9231:1.1984,1984,NC_001954,10868,Enterobacteria phage If1,8454,97.461,0.0,1873,1103
ERR1600431,Contig_1441_19.609:1.2534,2534,NC_022749,1407493,Shigella phage SfIV,39758,90.388,0.0,1688,1290
ERR1600431,Contig_1589_15.3325:1.2712,2712,NC_028943,1649240,Escherichia phage pro483,29237,92.772,0.0,2056,1425
ERR1600431,Contig_2027_15.6461:1.9589,9589,NC_028896,1649239,Escherichia phage pro147,32675,96.269,0.0,11321,6915
ERR1600431,Contig_2229_18.376:1.1967,1967,NC_011356,564886,Enterobacteria phage YYZ-2008,54896,98.607,0.0,2414,1364
ERR1600431,Contig_2334_16.6513:1.4718,4718,NC_021857,66284,Shigella phage SfII,41475,98.836,0.0,5819,3265
ERR1600431,Contig_2414_17.1663:1.2305,2305,NC_011357,563769,Stx2-converting phage 1717,62147,96.756,0.0,2876,1726
ERR1600431,Contig_2614_10.2025:1.1403,1403,NC_019488,929814,Salmonella phage RE-2010,34117,85.007,0.0,737,727
ERR1600431,Contig_2800_14.684:1.2495,2495,NC_019716,1147152,Enterobacteria phage mEp460,44510,97.415,0.0,3162,1857
ERR1600431,Contig_3_19.4447_Circ:1.5386,5386,NC_001422,10847,Escherichia virus phiX174,5386,99.898,0.0,5430,2949
ERR1600431,Contig_561_15.4451:1.10062,10062,NC_004745,227940,Yersinia virus L413C,30728,98.416,0.0,11546,6564
ERR1600431,Contig_83_17.3316:1.3316,3316,NC_011357,563769,Stx2-converting phage 1717,62147,98.505,0.0,3422,1940
ERR1600431,Contig_92_16.2195:1.2480,2480,NC_027339,1225789,Enterobacteria phage SfI,38389,95.634,0.0,2279,1420
ERR1600431,NC_016158.1_2:1.2088,2088,NC_016158,906669,Escherichia phage HK639,49576,94.916,0.0,2518,1613
ERR1600432,NC_017732.1_3:1.7941,7941,NC_017732,977801,Enterococcus phage EF62phi,30505,97.236,0.0,8881,5246
ERR1711614,Contig_29037_14.9841:1.1970,1970,NC_004813,196242,Enterobacteria phage BP-4795,57930,94.213,0.0,1604,1054
ERR1711614,Contig_36997_17.9674:1.3762,3762,NC_009514,414970,Enterobacteria phage cdtI,47021,95.048,0.0,3746,2383
ERR1711614,Contig_52843_17.9381:1.1457,1457,NC_009514,414970,Enterobacteria phage cdtI,47021,93.456,0.0,1293,871
ERR1711614,NC_024711.1_4:1.11863,11863,NC_024711,1211417,uncultured crAssphage,97065,97.521,0.0,10334,6051
ERR1711614,NC_024711.1_5:1.7301,7301,NC_024711,1211417,uncultured crAssphage,97065,94.382,0.0,8682,5696
ERR1711614,NC_024711.1_6:1.6370,6370,NC_024711,1211417,uncultured crAssphage,97065,96.318,0.0,5866,3585
ERR1711614,NC_024711.1_7:1.5866,5866,NC_024711,1211417,uncultured crAssphage,97065,96.656,0.0,5513,3319
ERR1711614,NC_024711.1_8:1.3098,3098,NC_024711,1211417,uncultured crAssphage,97065,98.697,0.0,2998,1689
ERR1711665,Contig_126283_36.4994:1.2709,2709,NC_011357,563769,Stx2-converting phage 1717,62147,98.738,0.0,2676,1506
ERR1711665,Contig_131968_41.7447:1.2499,2499,NC_009514,414970,Enterobacteria phage cdtI,47021,95.431,0.0,2163,1357
ERR1711665,Contig_134396_44.1749:1.1049,1049,NC_021857,66284,Shigella phage SfII,41475,96.667,0.0,1190,720
ERR1711665,Contig_25372_37.1519:1.2383,2383,NC_019710,1147143,Enterobacteria phage HK140,40710,96.222,0.0,2032,1244
ERR1711665,Contig_27824_44.1932:1.2670,2670,NC_009514,414970,Enterobacteria phage cdtI,47021,97.765,0.0,2774,1611
ERR1711665,Contig_34849_45.5932:1.1394,1394,NC_019716,1147152,Enterobacteria phage mEp460,44510,99.229,0.0,1871,1038
ERR1711665,Contig_69368_45.7362:1.1343,1343,NC_009514,414970,Enterobacteria phage cdtI,47021,95.667,0.0,1373,854
ERR1717097,Contig_339_166.062:1.2228,2228,NC_031040,1871681,Lactococcus phage 50101,31987,89.056,0.0,1956,1599
ERR1717097,Contig_350_243.823:1.1811,1811,NC_002671,151539,Lactococcus phage bIL312,15179,97.413,0.0,1712,1005
ERR1717097,NC_001629.1_1:1.2695,2695,NC_001629,36343,Lactococcus virus bIL67,22195,85.367,0.0,1888,1852
ERR1717097,NC_002669.1_1:1.7490,7490,NC_002669,151538,Lactococcus phage bIL310,14957,93.822,0.0,7046,4694
ERR1717097,NC_002669.1_2:1.3038,3038,NC_002669,151538,Lactococcus phage bIL310,14957,99.436,0.0,4176,2305
ERR1717097,NC_002669.1_3:1.1977,1977,NC_002669,151538,Lactococcus phage bIL310,14957,97.184,0.0,1740,1030
ERR1717097,NC_004066.1_11:1.3032,3032,NC_002666,151535,Lactococcus phage bIL285,35538,97.603,0.0,3362,1961
ERR1717097,NC_004066.1_15:1.1121,1121,NC_004066,114416,Lactococcus phage ul36,36798,86.759,0.0,787,725
ERR1717097,NC_004066.1_1:1.12388,12388,NC_002747,35345,Lactococcus phage TP901-1,37667,93.697,0.0,14615,9773
ERR1717097,NC_004066.1_3:1.3672,3672,NC_002667,151536,Lactococcus phage bIL286,41834,96.234,0.0,4329,2655
ERR1717097,NC_004066.1_4:1.2728,2728,NC_004066,114416,Lactococcus phage ul36,36798,93.004,0.0,2772,1901
ERR1717097,NC_004066.1_5:1.2907,2907,NC_002667,151536,Lactococcus phage bIL286,41834,96.031,0.0,2935,1814
ERR1717097,NC_031009.1_1:1.4126,4126,NC_001629,36343,Lactococcus virus bIL67,22195,91.798,0.0,3777,2719
ERR1717097,NC_031009.1_2:1.3193,3193,NC_001706,31537,Lactococcus virus c2,22172,90.000,0.0,2464,1920
ERR1717097,NC_031075.1_2:1.3944,3944,NC_001629,36343,Lactococcus virus bIL67,22195,92.234,0.0,4405,3116
ERR1719006,Contig_251_73.9518:1.1514,1514,NC_002671,151539,Lactococcus phage bIL312,15179,88.875,0.0,994,809
ERR1719006,NC_002668.1_12:1.1061,1061,NC_002747,35345,Lactococcus phage TP901-1,37667,93.814,0.0,1013,679
ERR1719006,NC_002668.1_6:1.2545,2545,NC_002668,151537,Lactococcus phage bIL309,36949,98.002,0.0,3040,1752
ERR1719006,NC_002703.1_2:1.4322,4322,NC_004066,114416,Lactococcus phage ul36,36798,95.076,0.0,3703,2356
ERR1719006,NC_002703.1_3:1.3684,3684,NC_002703,35241,Lactococcus phage Tuc2009,38347,96.703,0.0,4279,2578
ERR1719006,NC_002703.1_6:1.1760,1760,NC_002666,151535,Lactococcus phage bIL285,35538,98.788,0.0,1762,990
ERR1719006,NC_002747.1_13:1.2821,2821,NC_004066,114416,Lactococcus phage ul36,36798,94.897,0.0,2416,1548
ERR1719006,NC_002747.1_8:1.1171,1171,NC_005822,12390,Lactococcus phage phiLC3,32172,91.173,0.0,1260,929
ERR1719006,NC_031064.1_3:1.1935,1935,NC_031064,1871690,Lactococcus phage 98201,36202,93.010,0.0,2047,1402
ERR1719006,NC_031064.1_4:1.1335,1335,NC_031064,1871690,Lactococcus phage 98201,36202,98.507,0.0,1772,1005
ERR1719006,NC_031064.1_5:1.2840,2840,NC_031013,1871678,Lactococcus phage 28201,34396,92.139,0.0,2109,1501
ERR1719006,NC_031064.1_6:1.1749,1749,NC_031064,1871690,Lactococcus phage 98201,36202,97.140,0.0,1700,1014
ERR1719006,NC_031064.1_7:1.1054,1054,NC_031064,1871690,Lactococcus phage 98201,36202,92.605,0.0,887,622
ERR1719010,Contig_9304_8.9923:1.2359,2359,NC_019721,1147158,Enterobacterial phage mEp390,40029,86.494,0.0,1605,1466
ERR1719010,NC_002666.1_5:1.2340,2340,NC_002703,35241,Lactococcus phage Tuc2009,38347,97.642,0.0,2693,1569
ERR1719010,NC_002703.1_13:1.1179,1179,NC_002747,35345,Lactococcus phage TP901-1,37667,93.819,0.0,942,631
ERR1719010,NC_002703.1_2:1.3860,3860,NC_002703,35241,Lactococcus phage Tuc2009,38347,96.770,0.0,5051,3034
ERR1719010,NC_002703.1_5:1.2962,2962,NC_002703,35241,Lactococcus phage Tuc2009,38347,93.604,0.0,2235,1501
ERR1719010,NC_002703.1_6:1.1966,1966,NC_002666,151535,Lactococcus phage bIL285,35538,95.696,0.0,2239,1394
ERR1719010,NC_002747.1_2:1.5999,5999,NC_002747,35345,Lactococcus phage TP901-1,37667,96.741,0.0,5829,3498
ERR1719010,NC_002747.1_3:1.4002,4002,NC_002747,35345,Lactococcus phage TP901-1,37667,98.193,0.0,4348,2490
ERR1719010,NC_002747.1_4:1.2962,2962,NC_002703,35241,Lactococcus phage Tuc2009,38347,93.604,0.0,2235,1501
ERR1719010,NC_004302.1_2:1.3809,3809,NC_004302,43685,Lactococcus phage r1t,33350,94.315,0.0,3013,1970
ERR1719010,NC_004302.1_4:1.2789,2789,NC_004302,43685,Lactococcus phage r1t,33350,96.801,0.0,2390,1438
ERR1719010,NC_004302.1_6:1.1128,1128,NC_004302,43685,Lactococcus phage r1t,33350,95.196,0.0,1229,791
ERR1719010,NC_031013.1_2:1.2410,2410,NC_002703,35241,Lactococcus phage Tuc2009,38347,96.564,0.0,2691,1630
ERR1719010,NC_031064.1_3:1.1852,1852,NC_031064,1871690,Lactococcus phage 98201,36202,97.140,0.0,1700,1014
ERR1727375,Contig_9223_6.69177:1.1454,1454,NC_023503,1392231,Streptococcus phage 20617,48800,89.023,0.0,1027,829
ERR1727407,Contig_37633_7.06936:1.2543,2543,NC_029014,1655645,Parabacteroides phage YZ-2015b,5001,99.794,0.0,2678,1459
ERR1727407,NC_024711.1_6:1.6399,6399,NC_024711,1211417,uncultured crAssphage,97065,96.226,0.0,5337,3259
ERR1727408,Contig_2718_7.76349:1.1280,1280,NC_029014,1655645,Parabacteroides phage YZ-2015b,5001,99.665,0.0,1639,896
ERR1727408,NC_024711.1_6:1.6399,6399,NC_024711,1211417,uncultured crAssphage,97065,96.226,0.0,5337,3259
ERR1727409,Contig_66488_6.21414:1.1972,1972,NC_029014,1655645,Parabacteroides phage YZ-2015b,5001,99.784,0.0,2553,1391
ERR1727409,NC_024711.1_6:1.6399,6399,NC_024711,1211417,uncultured crAssphage,97065,96.226,0.0,5337,3259
ERR1727410,Contig_64447_5.64905:1.1288,1288,NC_029014,1655645,Parabacteroides phage YZ-2015b,5001,99.877,0.0,1493,811
